"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"ARMAGH CITY AND DISTRICT COUNCIL","Promoting Sustainability and Growth in Armagh","2011","33,240.50","2016","31,319.99","BT60 4EL","P2","£ 66,481.00","Objectives  Armagh City and District Council are keen to develop a number of strategic initiatives to assist business and enterprise in the Armagh area to survive and grow throughout this time of economic downturn.  In short Armagh City and District Council are concerned wholly about: -    •	Safeguarding employment for Business within the current Economic Climate by  Promoting sustainability and growth of companies in Armagh City and District Council area by developing  direct mentoring/training programmes to proactively work with a minimum of 20 organizations to establish mechanisms to assist companies improve their sustainability, it is envisaged these companies will be operating below the VAT threshold. This will include an approach which will enable such companies to feed into the economic pipeline, by progressing the following initiatives with them: -  o	Business Knowledge – this will explore the business, its systems, costs heading profiles, employee profile and customer base  o	Market Knowledge – this will look at the companies market share and positioning, who it is targeting and a competition audit  o	Business Efficiency Analysis  o	Exploration of Growth Potential  o	Compilation of Agreed Joint Action Plan    •	Provide the opportunity for 4 networking events to assist in the long-term business development of the region.  This will include working in conjunction with: -  o	Local Enterprise Agencies  o	Local Business Representative Groups  o	Community Organisations  o	Financial Organisations e.g. Banks, Funding Agents etc    Some of the key outputs for this section will be as follows: -  •	Numbers of Attendees  •	Enterprise Promotion Element and utilizing this as a feeder programme for both Enterprise Centres and Development Agencies  •	  •	To Provide Customer Facing Training for 80 employees from businesses across the City and District by 2011.  This will ensure service excellence and competitiveness and the expectation held by those experiencing Armagh City and District Council is fulfilled.    Target Groups  All emerging and established companies located within the Armagh City and District.  The focus will be on support for indigenously owned businesses that are active in the local market but are not eligible for support from Invest NI.  Invest NI client companies will be ineligible for the programme.   Coverage  Armagh City and District Council.  Partnerships  A number of key partnerships already exist that we wish to build upon include:    •	Following on from previous campaigns this programme will require close partnership working with the Enterprise Centres and Council to deliver this proactive programme.    •	Partnerships with existing Business Networks to develop and enhance growth throughout Armagh City and District in particular the Inclusion of the Financial Institutions and Community Organisations will assist in developing relationships.  •	Supporting local businesses that are active in the local market but that are not eligible for support from Invest NI. The aim of this would be to move businesses along the enterprise pipeline increasing their potential to be eligible for Invest NI support.     •	A Partnership for the Customer Facing Training Element will be established and will include representatives from NITB, Business Representatives, Sports Groups as well as Key Influencers from Armagh City and District Council area.    NTSN    Armagh is in the middle ranking, which in relative terms is quite deprived.  However there are pockets of serious deprivation across the City and District, with 1 Neighbourhood Renewal Area, 1 Area at risk and a number of wards having reasonably high levels of Anti Social Behaviour, this programme will in particular proactively target this area for training and networking.  .  Outputs    •	To identify 20 business (emerging & established below the VAT threshold and Non Invest NI Clients) with growth potential and ensure they are sustained and grow over the next 2 years by increasing turnover by 5-7%      •	To develop 1 programme of sustainable business for Armagh City and District Council which will include: -  	4 Networking events attracting 200 businesses  	20 companies taking part in a direct mentoring and planning programme of business survival and development  	Provision of 1 Enterprise Awareness Programme     •	80 customer facing staff trained to promote Armagh in its widest strategic context    Results    220 businesses to participate through the programme  20 companies increasing their turnover by 5-7%  80 employees trained in customer facing training  7  jobs created  7 jobs safeguarded"
"Apt Licensing Ltd","LoO 09/0280 MIS","2009","12,080.00","2015","4,953.00","BT12 7FP","P1","£ 32,197.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Brookwood Limited","LoO 09/0124 MIS","2009","6,481.00","2014","1,456.00","BT34 1EE","P1","£ 13,010.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Audio Processing Technology Ltd","RD0109086 - Mimas","2009","352,065.00","2014","179,630.17","BT12 7FP","P1","£ 782,367.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"K Point Internet Solutions Ltd","RD0409200 - Automated RentPro Sales and Per Property Pricing","2009","20,325.00","2014","18,100.82","BT34 3NQ","P1","£ 40,650.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Lightstep Ltd","RD1208049 - Final Development Phase","2009","75,942.00","2015","60,801.06","BT1 3BG","P1","£ 189,856.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Plant Mec Ireland Ltd","RD0309158 - Mechanical Sweeper Scraper","2009","27,510.00","2015","8,782.70","BT60 2AT","P1","£ 68,774.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Magherafelt District Council","Developing Business Clusters in Magherafelt","2010","30,720.00","2015","30,556.72","BT45 6EN","P2","£ 69,440.00","The development of business clusters in Magherafelt to improve business innovation and competitiveness"
"Magherafelt District Council","Be International Programme","2010","33,880.00","2016","33,880.00","BT45 6EN","P2","£ 85,260.00","Development of international business contacts and development of capabilities for international trading      Project previously known as World Trade Centre Services in Magherafelt - 17th February 2011 - Diane White"
"Vguard International Ltd","LoO 09/0940 MIS","2009","20,951.00","2015","17,091.00","BT92 0JE","P1","£ 58,252.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Dungannon & South Tyrone Borough Council","Enterprise (Tourism)","2011","103,205.00","2016","99,178.17","BT70 1TF","P2","£ 206,410.00","Introduction  The focus of the Enterprise (Tourism) Programme is to develop local tourism businesses through achieving growth and becoming more competitive. Over the past two years and as a direct result of assistance from the Competitiveness Measure through DETI, Dungannon & South Tyrone Borough Council has successfully further developed it’s Flavour of Tyrone initiative, the successes include: growing its membership by 41% from 87 members to 123 members; facilitating the establishment of four new accommodation providers , and the establishment of a spa, resulting in the creation of 8 new jobs; providing direct support to 123 businesses; establishing a collaborative relationship with the Good Food Circle in Kinsale, ROI, developing the Good Food Circle member businesses and Learn to Tyrone packages. There has also been a wide range of synergy and learning between member businesses, and examples of co-operation between these businesses. Tourism businesses in the Dungannon and South Tyrone Borough Council area have also benefitted from marketing and business development assistance through the Western Regional Tourism Partnership (WRTP) over the past two years.  The tourism sector in Dungannon and South Tyrone Borough Council area has prospered over the past two years as a result of the strong Euro exchange rate with sterling, more people holidaying at home because of the economic downturn and the work of Flavour of Tyrone. Figures from NITB for 2008 demonstrate a 12% increase in visitor numbers from the previous year and an increase in tourism spend of 12% for the same period. The Council now wishes to build on its success through this application to DETI."
